Jz, D, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, prodSix, prodSiy, prodSiz
-4.0, -1.8999999999999981, 0.5, 0.5000000000000001, 1.0000000000000002, 2.0860933975506644e-17, -2.0860933975506816e-17, 1.0000000000000002, -1.0794209732148315e-18, 1.0794209732149763e-18, 1.0000000000000002, -1.3692840318014431e-17, -1.3692840318014423e-17, 1.0000000000000002
-4.0, -1.799999999999998, 0.49999999999999983, 0.49999999999999983, 0.9999999999999997, 2.203801060465123e-19, -2.203801060467515e-19, 0.9999999999999997, 7.1707012328716955e-19, -7.170701232873205e-19, 0.9999999999999997, 5.595912387618578e-18, 5.595912387618574e-18, 0.9999999999999997
-4.0, -1.699999999999998, 0.5, 0.5, 1.0, 1.5177449309249313e-18, -1.517744930925543e-18, 1.0, 5.406838271952738e-19, -5.406838271961667e-19, 1.0, 9.193041538567939e-18, 9.193041538567933e-18, 1.0
-4.0, -1.5999999999999979, 0.49999999999999944, 0.4999999999999996, 0.999999999999999, 1.2127199498202584e-16, -1.2127199498202534e-16, 0.999999999999999, -1.1990710029332714e-16, 1.1990710029332833e-16, 0.999999999999999, 4.2659207803020256e-18, 4.265920780301943e-18, 0.999999999999999
-4.0, -1.4999999999999978, 0.5, 0.5, 1.0, 3.2943578934929137e-18, -3.294357893492895e-18, 1.0, 1.5440010186082873e-18, -1.5440010186082713e-18, 1.0, -2.783281661037267e-19, -2.783281661037277e-19, 1.0
-4.0, -1.3999999999999977, 0.5000000000000003, 0.5000000000000003, 1.0000000000000007, 9.670620965310254e-18, -9.670620965310261e-18, 1.0000000000000007, -3.052526911681623e-17, 3.052526911681624e-17, 1.0000000000000007, -4.66402050938009e-18, -4.664020509380099e-18, 1.0000000000000007
-4.0, -1.2999999999999976, 0.5000000000000004, 0.5000000000000003, 1.0000000000000007, -1.598744980708726e-16, 1.59874498070873e-16, 1.0000000000000007, 6.079231874565315e-17, -6.079231874565373e-17, 1.0000000000000007, 1.622227094645353e-17, 1.6222270946453503e-17, 1.0000000000000007
-4.0, -1.1999999999999975, 0.5, 0.5, 1.0, 3.616734761158766e-18, -3.616734761159099e-18, 1.0, -4.028827027207324e-18, 4.028827027207603e-18, 1.0, 2.7817636553881384e-19, 2.7817636553882135e-19, 1.0
-4.0, -1.0999999999999974, 0.4999999999999992, 0.4999999999999992, 0.9999999999999984, 4.789177224843917e-18, -4.78917722484394e-18, 0.9999999999999984, -1.3334983520980985e-17, 1.3334983520981034e-17, 0.9999999999999984, -5.291451467247845e-18, -5.291451467247844e-18, 0.9999999999999984
-4.0, -0.9999999999999973, 0.5, 0.5, 1.0, -4.327092712731173e-19, 4.327092712731091e-19, 1.0, -3.2413804069113377e-18, 3.2413804069113046e-18, 1.0, -2.9035144979899407e-18, -2.903514497989941e-18, 1.0
-4.0, -0.8999999999999972, 0.49999999999999994, 0.49999999999999994, 0.9999999999999999, -1.6226726138850928e-16, 1.6226726138850903e-16, 0.9999999999999999, 8.489425379326984e-18, -8.489425379326663e-18, 0.9999999999999999, -9.388362634832622e-19, -9.388362634832156e-19, 0.9999999999999999
-4.0, -0.7999999999999972, 0.4999999999999998, 0.4999999999999998, 0.9999999999999996, -4.345631506419275e-18, 4.3456315064193404e-18, 0.9999999999999996, -2.3586642061889573e-18, 2.35866420618884e-18, 0.9999999999999996, 7.559298242774559e-18, 7.559298242774557e-18, 0.9999999999999996
-4.0, -0.6999999999999971, 0.4999999999999999, 0.49999999999999994, 0.9999999999999998, 6.820010082981517e-17, -6.820010082981511e-17, 0.9999999999999998, -2.474447747990171e-17, 2.474447747990167e-17, 0.9999999999999998, 6.046659718146684e-18, 6.046659718146685e-18, 0.9999999999999998
-4.0, -0.599999999999997, 0.49999999999999994, 0.49999999999999983, 0.9999999999999998, -8.321673694675443e-17, 8.321673694675425e-17, 0.9999999999999998, 7.777200463914298e-17, -7.777200463914282e-17, 0.9999999999999998, -9.201264559481832e-19, -9.20126455948211e-19, 0.9999999999999998
